iter	Passed	Remaining
0	2	2509
1	3	1498
2	3	1152
3	3	938
4	4	810
5	4	720
6	4	664
7	5	633
8	5	598
9	5	570
10	6	552
11	6	532
12	6	516
13	7	505
14	7	494
15	7	484
16	8	483
17	8	473
18	9	471
19	9	465
20	9	458
21	10	452
22	10	449
23	11	448
24	11	445
25	11	439
26	12	436
27	12	432
28	12	428
29	13	425
30	13	421
31	13	420
32	14	415
33	14	411
34	14	407
35	15	403
36	15	402
37	15	401
38	16	399
39	16	398
40	17	399
41	17	399
42	17	399
43	18	398
44	19	412
45	19	410
46	20	411
47	20	410
48	21	408
49	21	405
50	21	403
51	22	403
52	22	401
53	22	400
54	23	397
55	23	396
56	23	395
57	24	394
58	24	394
59	25	392
60	25	392
61	25	390
62	26	390
63	26	390
64	27	390
65	27	388
66	27	386
67	28	386
68	28	385
69	28	384
70	29	382
71	29	380
72	29	380
73	30	379
74	30	377
75	31	376
76	31	375
77	31	373
78	32	373
79	32	372
80	32	370
81	32	369
82	33	365
83	33	364
84	33	363
85	34	362
86	34	362
87	34	361
88	35	360
89	35	359
90	35	358
91	36	359
92	36	358
93	37	358
94	37	357
95	37	356
96	38	355
97	38	354
98	38	353
99	39	352
100	39	351
101	39	350
102	40	349
103	40	349
104	41	349
105	41	348
106	41	347
107	41	346
108	42	345
109	42	344
110	42	343
111	43	342
112	43	341
113	43	340
114	44	339
115	44	339
116	44	338
117	45	338
118	45	338
119	46	339
120	46	338
121	46	337
122	47	337
123	47	336
124	48	336
125	48	336
126	48	335
127	49	334
128	49	334
129	49	334
130	50	333
131	50	332
132	50	331
133	51	330
134	51	330
135	51	329
136	52	329
137	52	328
138	52	328
139	53	327
140	53	327
141	54	326
142	54	325
143	54	325
144	55	324
145	55	323
146	55	323
147	56	323
148	56	322
149	56	321
150	57	321
151	57	320
152	57	320
153	58	319
154	58	319
155	58	318
156	59	318
157	59	318
158	60	317
159	60	318
160	60	316
161	61	315
162	61	314
163	61	314
164	62	317
165	63	317
166	63	316
167	63	316
168	64	315
169	64	314
170	64	314
171	65	314
172	65	313
173	65	312
174	66	312
175	66	311
176	66	310
177	67	310
178	67	309
179	67	309
180	68	308
181	68	307
182	68	307
183	69	306
184	69	305
185	69	305
186	70	305
187	70	304
188	70	304
189	71	303
190	71	303
191	72	304
192	72	303
193	72	303
194	73	302
195	73	302
196	73	301
197	74	301
198	74	301
199	75	300
200	75	299
201	75	299
202	76	299
203	76	298
204	76	298
205	77	297
206	77	297
207	77	296
208	78	296
209	78	295
210	78	295
211	79	294
212	79	294
213	80	294
214	80	293
215	80	293
216	81	292
217	81	292
218	82	292
219	82	292
220	82	292
221	83	291
222	83	291
223	83	290
224	84	289
225	84	289
226	84	289
227	85	288
228	85	288
229	85	287
230	86	287
231	86	286
232	87	286
233	87	285
234	87	285
235	87	284
236	88	284
237	88	284
238	89	283
239	89	283
240	89	282
241	90	282
242	90	281
243	90	281
244	91	281
245	91	281
246	92	280
247	92	280
248	92	279
249	93	279
250	93	278
251	93	278
252	94	278
253	94	278
254	95	277
255	95	277
256	95	276
257	96	276
258	96	276
259	96	275
260	97	275
261	97	275
262	98	274
263	98	274
264	98	273
265	99	273
266	99	273
267	99	272
268	100	272
269	100	272
270	101	271
271	101	271
272	101	271
273	102	271
274	102	271
275	103	270
276	103	270
277	104	270
278	104	269
279	104	269
280	105	269
281	105	268
282	105	268
283	106	267
284	106	267
285	106	266
286	107	266
287	107	266
288	108	265
289	108	265
290	108	265
291	109	265
292	109	264
293	110	264
294	110	264
295	110	263
296	111	263
297	111	263
298	112	263
299	112	262
300	113	262
301	113	262
302	113	261
303	114	261
304	114	260
305	114	260
306	115	260
307	115	259
308	115	259
309	116	258
310	116	258
311	117	258
312	117	257
313	117	256
314	118	256
315	118	256
316	119	256
317	119	256
318	120	256
319	120	255
320	120	255
321	121	254
322	121	254
323	121	254
324	122	253
325	122	253
326	122	252
327	123	252
328	123	251
329	123	251
330	124	250
331	124	250
332	124	250
333	125	249
334	125	248
335	125	248
336	126	247
337	126	247
338	126	246
339	126	246
340	127	246
341	127	245
342	128	245
343	128	244
344	128	244
345	128	243
346	129	243
347	129	242
348	129	242
349	130	241
350	130	241
351	130	240
352	130	240
353	131	239
354	131	239
355	132	239
356	132	238
357	132	238
358	133	238
359	133	237
360	134	237
361	134	237
362	134	236
363	135	236
364	135	236
365	136	236
366	136	235
367	136	235
368	137	234
369	137	234
370	138	234
371	138	233
372	138	233
373	139	232
374	139	232
375	139	231
376	140	231
377	140	230
378	140	230
379	140	229
380	141	229
381	141	229
382	142	228
383	142	228
384	142	228
385	143	227
386	143	227
387	143	227
388	144	226
389	144	226
390	144	225
391	145	225
392	145	224
393	145	224
394	146	224
395	146	223
396	146	223
397	147	222
398	147	222
399	148	222
400	148	221
401	148	221
402	149	220
403	149	220
404	149	219
405	149	219
406	150	219
407	150	218
408	150	217
409	151	217
410	151	217
411	151	216
412	152	216
413	152	216
414	152	215
415	153	215
416	153	214
417	153	214
418	154	213
419	154	213
420	154	212
421	155	212
422	155	211
423	155	211
424	156	211
425	156	210
426	156	210
427	157	209
428	157	209
429	157	209
430	158	208
431	158	208
432	158	207
433	159	207
434	159	207
435	159	206
436	160	206
437	160	205
438	160	205
439	160	204
440	161	204
441	161	203
442	161	203
443	162	203
444	162	203
445	163	202
446	163	202
447	164	202
448	164	201
449	164	201
450	164	200
451	165	200
452	165	199
453	165	199
454	166	198
455	166	198
456	166	197
457	166	197
458	167	197
459	167	196
460	167	196
461	167	195
462	168	195
463	168	194
464	168	194
465	168	193
466	169	193
467	169	192
468	169	192
469	170	191
470	170	191
471	170	190
472	170	190
473	171	189
474	171	189
475	171	188
476	171	188
477	172	188
478	172	187
479	172	187
480	172	186
481	173	186
482	173	185
483	173	185
484	173	184
485	174	184
486	174	183
487	174	183
488	175	182
489	175	182
490	175	182
491	175	181
492	176	181
493	176	180
494	176	180
495	176	179
496	177	179
497	177	178
498	177	178
499	177	177
500	178	177
501	178	177
502	178	176
503	179	176
504	179	175
505	179	175
506	179	174
507	180	174
508	180	173
509	180	173
510	180	172
511	181	172
512	181	172
513	181	171
514	181	171
515	182	170
516	182	170
517	182	169
518	182	169
519	183	169
520	183	168
521	183	168
522	183	167
523	184	167
524	184	166
525	184	166
526	184	165
527	185	165
528	185	165
529	185	164
530	185	164
531	186	163
532	186	163
533	186	162
534	187	162
535	187	162
536	187	161
537	187	161
538	188	160
539	188	160
540	188	159
541	188	159
542	188	159
543	189	158
544	189	158
545	189	157
546	190	157
547	190	156
548	190	156
549	190	156
550	191	155
551	191	155
552	191	154
553	191	154
554	192	154
555	192	153
556	192	153
557	193	152
558	193	152
559	193	152
560	193	151
561	194	151
562	194	150
563	194	150
564	194	150
565	195	149
566	195	149
567	195	148
568	195	148
569	196	148
570	196	147
571	196	147
572	196	146
573	197	146
574	197	145
575	197	145
576	198	145
577	198	144
578	198	144
579	198	143
580	199	143
581	199	143
582	199	142
583	199	142
584	200	141
585	200	141
586	200	141
587	200	140
588	201	140
589	201	140
590	201	139
591	201	139
592	202	138
593	202	138
594	202	138
595	203	137
596	203	137
597	203	136
598	203	136
599	204	136
600	204	135
601	204	135
602	204	134
603	205	134
604	205	134
605	205	133
606	205	133
607	206	132
608	206	132
609	206	132
610	206	131
611	207	131
612	207	130
613	207	130
614	207	130
615	208	129
616	208	129
617	208	129
618	209	128
619	209	128
620	209	127
621	209	127
622	210	127
623	210	126
